from_module,to_module,from_layer,to_layer,violation_type,status
roadmap.core.services.baseline.baseline_state_retriever,roadmap.adapters.persistence.parser.frontmatter,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.baseline.baseline_state_retriever,roadmap.adapters.persistence.parser.issue,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.baseline.optimized_baseline_builder,roadmap.adapters.persistence.git_history,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.git.git_hook_auto_sync_service,roadmap.adapters.sync.backend_factory,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.git.git_hook_auto_sync_service,roadmap.adapters.sync.sync_cache_orchestrator,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.github.github_integration_service,roadmap.adapters.github.github,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.github.github_issue_client,roadmap.adapters.github.github (l.91, l.131),Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.github.github_issue_client,roadmap.adapters.github.handlers.base,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.health.health_check_service,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.health.infrastructure_validator_service,roadmap.adapters.persistence.storage,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.initialization.workflow,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.initialization_service,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.issue.assignee_validation_service,roadmap.infrastructure.validation.github_validator,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.issue.issue_filter_service,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.issue_helpers.issue_filters,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.milestone_service,roadmap.adapters.persistence.parser,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.project.project_service,roadmap.adapters.persistence.parser,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.project.project_status_service,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.project_init.creation,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.project_init.detection,roadmap.adapters.persistence.parser,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.sync.sync_plan_executor,roadmap.adapters.sync.services.sync_linking_service,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.validators.data_integrity_validator,roadmap.adapters.persistence.parser,Core,Adapters,forbidden_import,grandfathered
roadmap.core.services.validators.duplicate_milestones_validator,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
roadmap.core.services.validators.orphaned_milestones_validator,roadmap.infrastructure.coordination.core,Core,Infrastructure,forbidden_import,grandfathered
